Game type,AI player,final score,play duration,moves played
random vs random,,"(41, 23)",169,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (3, 5)], ['0', (2, 5)], ['O', (4, 2)], ['0', (4, 5)], ['O', (3, 6)], ['0', (4, 1)], ['O', (5, 5)], ['0', (4, 7)], ['O', (1, 5)], ['0', (3, 2)], ['O', (2, 3)], ['0', (6, 6)], ['O', (6, 5)], ['0', (1, 4)], ['O', (1, 2)], ['0', (1, 3)], ['O', (4, 0)], ['0', (6, 4)], ['O', (0, 3)], ['0', (1, 6)], ['O', (2, 6)], ['0', (5, 0)], ['O', (0, 4)], ['0', (2, 7)], ['O', (3, 1)], ['0', (2, 2)], ['O', (6, 0)], ['0', (2, 1)], ['O', (0, 5)], ['0', (2, 4)], ['O', (5, 4)], ['0', (4, 6)], ['O', (7, 5)], ['0', (6, 3)], ['O', (3, 0)], ['0', (5, 6)], ['O', (5, 1)], ['0', (2, 0)], ['O', (3, 7)], ['0', (0, 2)], ['O', (1, 0)], ['0', (1, 7)], ['O', (1, 1)], ['0', (5, 2)], ['O', (7, 7)], ['0', (0, 0)], ['O', (0, 1)], ['0', (6, 7)], ['O', (7, 4)], ['0', (7, 0)], ['O', (5, 7)], ['0', (5, 3)], ['O', (0, 6)], ['0', (7, 3)], ['O', (6, 2)], ['0', (6, 1)], ['O', (0, 7)], ['0', (7, 6)], ['O', (7, 1)], ['0', (7, 2)]]"
random vs random,,"(24, 40)",156,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (5, 3)], ['0', (5, 2)], ['O', (3, 5)], ['0', (2, 3)], ['O', (1, 2)], ['0', (4, 5)], ['O', (5, 6)], ['0', (2, 5)], ['O', (3, 2)], ['0', (2, 6)], ['O', (5, 4)], ['0', (3, 1)], ['O', (1, 5)], ['0', (6, 5)], ['O', (7, 4)], ['0', (6, 2)], ['O', (4, 1)], ['0', (3, 6)], ['O', (5, 5)], ['0', (1, 4)], ['O', (1, 7)], ['0', (3, 0)], ['O', (5, 0)], ['0', (2, 1)], ['O', (1, 3)], ['0', (5, 1)], ['O', (4, 2)], ['0', (1, 6)], ['O', (6, 3)], ['0', (6, 6)], ['O', (7, 6)], ['0', (6, 7)], ['O', (7, 1)], ['0', (0, 3)], ['O', (6, 1)], ['0', (7, 2)], ['O', (3, 7)], ['0', (4, 7)], ['O', (0, 7)], ['0', (7, 5)], ['O', (4, 0)], ['0', (0, 5)], ['O', (7, 3)], ['0', (6, 4)], ['O', (1, 1)], ['0', (7, 0)], ['O', (2, 7)], ['0', (0, 1)], ['O', (2, 4)], ['0', (0, 6)], ['O', (4, 6)], ['0', (0, 4)], ['O', (5, 7)], ['0', (6, 0)], ['O', (2, 2)], ['0', (7, 7)], ['O', (2, 0)], ['0', (1, 0)], ['O', (0, 0)], ['0', (0, 2)]]"
"min max vs random, explo depth 1",O,"(40, 24)",390,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (2, 4)], ['0', (2, 3)], ['O', (4, 2)], ['0', (4, 5)], ['O', (3, 5)], ['0', (4, 1)], ['O', (5, 3)], ['0', (2, 5)], ['O', (4, 0)], ['0', (6, 2)], ['O', (5, 4)], ['0', (3, 1)], ['O', (3, 6)], ['0', (5, 1)], ['O', (7, 3)], ['0', (5, 6)], ['O', (1, 4)], ['0', (7, 1)], ['O', (2, 2)], ['0', (1, 3)], ['O', (3, 2)], ['0', (6, 3)], ['O', (7, 2)], ['0', (4, 6)], ['O', (7, 0)], ['0', (6, 5)], ['O', (4, 7)], ['0', (5, 5)], ['O', (7, 5)], ['0', (1, 5)], ['O', (0, 2)], ['0', (0, 3)], ['O', (0, 4)], ['0', (6, 0)], ['O', (5, 2)], ['0', (0, 5)], ['O', (5, 7)], ['0', (6, 4)], ['O', (7, 4)], ['0', (5, 0)], ['O', (3, 0)], ['0', (3, 7)], ['O', (2, 7)], ['0', (2, 1)], ['O', (2, 0)], ['0', (1, 1)], ['O', (0, 0)], ['0', (0, 1)], ['O', (2, 6)], ['0', (6, 1)], ['O', (1, 2)], ['0', (7, 6)], ['O', (7, 7)], ['0', (6, 7)], ['O', (0, 6)], ['0', (6, 6)], ['O', (1, 0)], ['0', (1, 6)], ['O', (0, 7)], ['0', (1, 7)]]"
"min max vs random, explo depth 2",0,"(40, 24)",907,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (4, 2)], ['0', (5, 4)], ['O', (5, 5)], ['0', (3, 2)], ['O', (6, 4)], ['0', (7, 4)], ['O', (7, 3)], ['0', (7, 2)], ['O', (5, 3)], ['0', (5, 2)], ['O', (3, 1)], ['0', (3, 0)], ['O', (4, 5)], ['0', (7, 5)], ['O', (2, 4)], ['0', (1, 4)], ['O', (6, 5)], ['0', (5, 6)], ['O', (6, 1)], ['0', (7, 0)]]"
"min max vs random, explo depth 2",O,"(33, 31)",5447,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (2, 4)], ['0', (2, 3)], ['O', (4, 2)], ['0', (5, 3)], ['O', (2, 2)], ['0', (1, 3)], ['O', (0, 2)], ['0', (5, 1)], ['O', (6, 3)], ['0', (4, 5)], ['O', (3, 5)], ['0', (2, 5)], ['O', (3, 6)], ['0', (7, 3)], ['O', (5, 4)], ['0', (1, 5)], ['O', (3, 2)], ['0', (4, 7)], ['O', (0, 5)], ['0', (3, 1)], ['O', (4, 6)], ['0', (5, 6)], ['O', (3, 0)], ['0', (0, 3)], ['O', (0, 4)], ['0', (2, 1)], ['O', (2, 0)], ['0', (1, 6)], ['O', (5, 7)], ['0', (2, 6)], ['O', (3, 7)], ['0', (1, 2)], ['O', (7, 2)], ['0', (1, 4)], ['O', (7, 4)], ['0', (5, 5)], ['O', (4, 1)], ['0', (1, 7)], ['O', (0, 7)], ['0', (1, 0)], ['O', (0, 0)], ['0', (4, 0)], ['O', (2, 7)], ['0', (0, 6)], ['O', (5, 2)], ['0', (1, 1)], ['O', (5, 0)], ['0', (6, 0)], ['O', (7, 0)], ['0', (0, 1)], ['O', (6, 2)], ['0', (7, 1)], ['O', (6, 4)], ['0', (7, 5)], ['O', (7, 6)], ['0', (6, 1)], ['0', (6, 7)], ['O', (7, 7)], ['0', (6, 6)], ['O', (6, 5)]]"
"min max vs random, explo depth 3",0,"(24, 40)",42672,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (2, 4)], ['0', (4, 5)], ['O', (5, 5)], ['0', (2, 3)], ['O', (4, 6)], ['0', (4, 7)], ['O', (3, 5)], ['0', (1, 3)], ['O', (1, 2)], ['0', (2, 2)], ['O', (3, 6)], ['0', (0, 2)], ['O', (5, 4)], ['0', (3, 7)], ['O', (4, 2)], ['0', (4, 1)], ['O', (2, 5)], ['0', (6, 3)], ['O', (5, 3)], ['0', (6, 4)], ['O', (2, 1)], ['0', (1, 5)], ['O', (7, 3)], ['0', (2, 0)], ['O', (1, 6)], ['0', (1, 4)], ['O', (2, 6)], ['0', (0, 7)], ['O', (0, 5)], ['0', (5, 2)], ['O', (0, 6)], ['0', (2, 7)], ['O', (0, 4)], ['0', (7, 2)], ['O', (3, 2)], ['0', (7, 4)], ['O', (0, 1)], ['0', (0, 0)], ['O', (3, 1)], ['0', (3, 0)], ['O', (6, 6)], ['0', (7, 7)], ['O', (5, 6)], ['0', (5, 7)], ['O', (6, 2)], ['0', (5, 1)], ['O', (7, 1)], ['0', (7, 0)], ['O', (4, 0)], ['0', (5, 0)], ['O', (6, 7)], ['0', (1, 7)], ['O', (1, 0)], ['0', (0, 3)], ['O', (7, 5)], ['0', (6, 5)], ['O', (6, 1)], ['0', (6, 0)], ['O', (1, 1)], ['0', (7, 6)]]"
"alpha beta vs random, explo depth 1",O,"(47, 17)",556,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (5, 3)], ['0', (3, 2)], ['O', (2, 4)], ['0', (5, 4)], ['O', (4, 2)], ['0', (1, 4)], ['O', (3, 5)], ['0', (4, 6)], ['O', (0, 4)], ['0', (6, 2)], ['O', (5, 7)], ['0', (2, 2)], ['O', (6, 4)], ['0', (5, 2)], ['O', (3, 1)], ['0', (2, 6)], ['O', (7, 2)], ['0', (5, 1)], ['O', (5, 0)], ['0', (4, 0)], ['O', (2, 0)], ['0', (7, 4)], ['O', (7, 5)], ['0', (6, 0)], ['O', (7, 3)], ['0', (2, 1)], ['O', (4, 5)], ['0', (3, 0)], ['O', (7, 0)], ['0', (3, 6)], ['O', (3, 7)], ['0', (4, 7)], ['O', (5, 5)], ['0', (4, 1)], ['O', (2, 3)], ['0', (2, 7)], ['O', (5, 6)], ['0', (1, 2)], ['O', (0, 2)], ['0', (6, 1)], ['O', (6, 3)], ['0', (1, 0)], ['O', (0, 0)], ['0', (0, 5)], ['O', (1, 3)], ['0', (6, 5)], ['O', (1, 5)], ['0', (2, 5)], ['O', (1, 7)], ['0', (1, 1)], ['O', (0, 3)], ['0', (1, 6)], ['O', (0, 7)], ['0', (0, 1)], ['O', (7, 6)], ['0', (6, 6)], ['O', (7, 7)], ['0', (6, 7)], ['O', (0, 6)], ['O', (7, 1)]]"
"alpha beta vs random, explo depth 1",0,"(34, 30)",205,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (5, 3)], ['0', (5, 4)], ['O', (4, 5)], ['0', (3, 2)], ['O', (2, 4)], ['0', (1, 4)], ['O', (3, 5)], ['0', (4, 6)], ['O', (5, 5)], ['0', (6, 3)], ['O', (5, 2)], ['0', (6, 5)], ['O', (2, 5)], ['0', (4, 2)], ['O', (6, 4)], ['0', (7, 4)], ['O', (7, 3)], ['0', (7, 2)], ['O', (3, 1)], ['0', (2, 0)], ['O', (2, 2)], ['0', (5, 1)], ['O', (6, 2)], ['0', (1, 2)], ['O', (2, 3)], ['0', (2, 6)]]"
"alpha beta vs random, explo depth 2",O,"(42, 22)",2723,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (5, 3)], ['0', (3, 2)], ['O', (2, 4)], ['0', (6, 3)], ['O', (4, 2)], ['0', (5, 4)], ['O', (2, 2)], ['0', (4, 5)], ['O', (5, 5)], ['0', (2, 1)], ['O', (2, 0)], ['0', (2, 5)], ['O', (3, 5)], ['0', (6, 5)], ['O', (7, 6)], ['0', (4, 1)], ['O', (5, 0)], ['0', (2, 3)], ['O', (1, 4)], ['0', (1, 5)], ['O', (0, 5)], ['0', (1, 0)], ['O', (0, 0)], ['0', (1, 1)], ['O', (5, 1)], ['0', (3, 1)], ['O', (7, 3)], ['0', (6, 6)], ['O', (3, 0)], ['0', (0, 4)], ['O', (0, 3)], ['0', (1, 2)], ['O', (7, 7)], ['0', (6, 1)], ['O', (4, 0)], ['0', (5, 2)], ['O', (7, 0)], ['0', (4, 6)], ['O', (4, 7)], ['0', (7, 5)], ['O', (5, 6)], ['0', (6, 2)], ['O', (7, 4)], ['0', (1, 6)], ['O', (0, 7)], ['0', (7, 1)], ['O', (7, 2)], ['0', (6, 7)], ['O', (3, 6)], ['0', (3, 7)], ['O', (2, 7)], ['0', (6, 4)], ['O', (2, 6)], ['0', (5, 7)], ['O', (6, 0)], ['0', (1, 3)], ['O', (0, 2)], ['0', (1, 7)], ['O', (0, 6)], ['0', (0, 1)]]"
"alpha beta vs random, explo depth 3",O,"(23, 41)",23844,"[['O', ((3, 3), (4, 4))], ['0', ((3, 4), (4, 3))], ['O', (5, 3)], ['0', (5, 2)], ['O', (5, 1)], ['0', (2, 3)], ['O', (2, 4)], ['0', (1, 5)], ['O', (4, 2)], ['0', (5, 5)], ['O', (5, 4)], ['0', (4, 5)], ['O', (5, 6)], ['0', (4, 1)], ['O', (3, 5)], ['0', (3, 6)], ['O', (4, 0)], ['0', (6, 1)], ['O', (1, 3)], ['0', (6, 5)], ['O', (7, 0)], ['0', (4, 7)], ['O', (5, 7)], ['0', (0, 2)], ['O', (7, 5)], ['0', (1, 2)], ['O', (2, 5)], ['0', (2, 6)], ['O', (0, 3)], ['0', (3, 2)], ['O', (0, 5)], ['0', (7, 4)], ['O', (3, 1)], ['0', (7, 6)], ['O', (2, 7)], ['0', (0, 6)], ['O', (0, 7)], ['0', (3, 7)], ['O', (1, 4)], ['0', (2, 1)], ['O', (6, 3)], ['0', (7, 3)], ['O', (3, 0)], ['0', (2, 2)], ['O', (6, 4)], ['0', (6, 6)], ['O', (0, 1)], ['0', (2, 0)], ['O', (1, 0)], ['0', (6, 0)], ['O', (5, 0)], ['0', (0, 4)], ['O', (6, 7)], ['0', (7, 7)], ['O', (7, 2)], ['0', (6, 2)], ['O', (7, 1)], ['0', (0, 0)], ['O', (1, 6)], ['0', (4, 6)], ['0', (1, 7)], ['0', (1, 1)]]"
